term,weight
abduct,2
abuse,2
aggression,2
agitate,2
airstrike,3
ambush,2
anarchism,1
anarchy,1
anguish,2
annihilate,3
armageddon,3
assassinate,3
ass,1
assault,2
asshole,1
attack,2
atrocity,3
barbaric,2
barricade,2
bastard,1
battle,2
beat,2
behead,3
bit,2
bitch,1
blow,1
bomb,3
brainwash,2
break,2
breed,1
brawl,2
brutalize,3
bully,2
bullet,2
bullshit,1
burn,2
cancer,1
carnage,3
castrate,3
cock,1
combat,1
command,1
conflict,2
conquer,2
control,2
convert,1
coup,2
coward,1
crap,1
crime,1
criminal,1
crisis,2
cruelty,3
crusade,2
crush,3
cult,2
cunt,1
cut,2
danger,1
dead,3
decapitate,3
demand,1
deny,1
deport,2
destroy,3
dick,1
die,2
discipline,2
dominate,2
dumbass,1
end,2
enemy,2
enslave,2
eradicate,3
execute,3
exploit,2
exterminate,3
extremist,2
fascist,1
fight,1
fuck,2
genocide,3
hang,3
harm,2
hate,2
hit,1
Hitler,2
homicide,3
hostility,2
hunt,2
injure,2
invade,2
jihad,3
kick,2
kill,3
maim,3
massacre,3
molest,3
motherfucker,1
murder,3
nuke,3
oppression,2
pain,1
pedophile,2
persecute,2
pervert,2
piss,1
plunder,2
rape,3
retard,1
resistance,2
revenge,2
riot,2
scalp,3
scum,2
shit,1
shoot,3
slaughter,3
slay,2
sodomize,3
stab,3
strangle,3
strife,2
subjugation,2
suffer,3
surveillance,1
terrorism,3
threat,2
torture,3
traitor,2
trauma,2
vandalize,2
vicious,2
violence,3
violent,2
war,2
warlord,1
weapon,2
whore,1
wound,1
